,x_m,y_m,c
190,78.16470773,-6.76573915,0.05121049936784437
191,78.36730022,-7.068383585,0.051004119596941726
192,78.56418230999999,-7.37465322,0.05079376910029557
193,78.75533315999999,-7.684455511999999,0.050582360114861
194,78.94073184999999,-7.997698136999999,0.050367412854701185
195,79.12035763,-8.314288551,0.05015373760814035
196,79.29418957,-8.634134432000002,0.0499384684397918
197,79.46220683,-8.957143163000001,0.04972474647927568
198,79.62438858,-9.283222347,0.04951210130193405
199,79.78071405,-9.612279588000002,0.049302856110664366
200,79.93116225,-9.94422241,0.04918931714340136
201,80.07569776,-10.278955880000002,0.049917894982134246
202,80.21415664,-10.61636274,0.05112657667760502
203,80.34630855,-10.95631445,0.05240014522382871
204,80.47192256,-11.29868233,0.05373321203735263
205,80.59076768999999,-11.64333755,0.055123583079243664
206,80.70261301,-11.99015142,0.056568851997049883
207,80.80722752999999,-12.33899526,0.05806445995731117
208,80.90438034,-12.68974037,0.0596068022442128
209,80.99384049999999,-13.04225794,0.06119134244826993
210,81.07537703999999,-13.39641934,0.06281093573954147
211,81.14875903,-13.75209582,0.06445896622454962
212,81.21375555,-14.10915863,0.06607826510439577
213,81.27014222999999,-14.46747921,0.06494957678559328
214,81.31806111,-14.82693799,0.05963118942771734
215,81.35820412999999,-15.18742889,0.05390737566791978
216,81.39130829,-15.54884667,0.048154392150270946
217,81.41811072,-15.911086470000004,0.04240330497412323
218,81.43934849,-16.274043159999998,0.03667471324046628
219,81.45575866,-16.63761172,0.030980343293584737
220,81.46807835999999,-17.00168707,0.025327094482128113
221,81.47704458999999,-17.36616423,0.01971183212289346
222,81.48339456,-17.730938029999997,0.014133265823079852
223,81.48786518,-18.09590355,0.008577532884479346
224,81.49119372999999,-18.46095571,0.003038785257576461
225,81.49411714,-18.82598943,0.001716486893466673
226,81.49726833,-19.19091531,0.0027509169646432433
227,81.50078466,-19.55571812,0.002676988915199169
228,81.50465600999999,-19.92040462,0.0026042304269091954
229,81.50887245999999,-20.28498175,0.00253028402244398
230,81.51342396999999,-20.64945621,0.0024557163760966227
231,81.51830045999999,-21.01383499,0.0023817974698484867
232,81.52349197,-21.37812481,0.0023073016299282392
233,81.5289885,-21.74233249,0.0022326953822526833
